landing_page,page_type,clicks,keywords,top_keyword
/,Homepage / brand,1,1,financial calculators
/calculators,Category hubs,1,1,financial calculators
/loans,Category hubs,1,1,loan calculators
/investment,Category hubs,1,1,investment calculators
/savings,Category hubs,1,1,savings calculator
/loan-calculator,Calculator landing pages,1,1,loan calculator
/mortgage-calculator,Calculator landing pages,1,1,mortgage calculator
/compound-interest-calculator,Calculator landing pages,1,1,compound interest calculator
/savings-calculator,Calculator landing pages,1,1,savings calculator
/about,Informational pages,1,1,about MoneyCalci
/contact,Informational pages,1,1,contact MoneyCalci
/privacy-policy,Informational pages,1,1,MoneyCalci privacy
